Species 1,Species 2,Dist,Std. Err
AB009938 Staphylococcus delphini,AJ780976 Staphylococcus pseudintermedius,0.0053911802,0.0018449725
AB009938 Staphylococcus delphini,CAIB01000045 Staphylococcus intermedius,0.0040355188,0.0016370366
AJ780976 Staphylococcus pseudintermedius,CAIB01000045 Staphylococcus intermedius,0.0033204728,0.0015094169
AB009938 Staphylococcus delphini,FXUZ01000000 Staphylococcus cornubiensis,0.0035667964,0.0016395384
AJ780976 Staphylococcus pseudintermedius,FXUZ01000000 Staphylococcus cornubiensis,0.0042280568,0.0018119939
CAIB01000045 Staphylococcus intermedius,FXUZ01000000 Staphylococcus cornubiensis,0.0013862057,0.0009743791
AB009938 Staphylococcus delphini,KY019172 Staphylococcus ursi,0.0074185043,0.0021480444
AJ780976 Staphylococcus pseudintermedius,KY019172 Staphylococcus ursi,0.0066587102,0.0021526133
CAIB01000045 Staphylococcus intermedius,KY019172 Staphylococcus ursi,0.0032725575,0.0014281299
FXUZ01000000 Staphylococcus cornubiensis,KY019172 Staphylococcus ursi,0.0027492467,0.0013240759
AB009938 Staphylococcus delphini,X84731 Staphylococcus lutrae,0.0137511610,0.0032355888
AJ780976 Staphylococcus pseudintermedius,X84731 Staphylococcus lutrae,0.0121966677,0.0030421718
CAIB01000045 Staphylococcus intermedius,X84731 Staphylococcus lutrae,0.0100147775,0.0026947740
FXUZ01000000 Staphylococcus cornubiensis,X84731 Staphylococcus lutrae,0.0111933539,0.0029173584
KY019172 Staphylococcus ursi,X84731 Staphylococcus lutrae,0.0120383808,0.0029649130
AB009938 Staphylococcus delphini,HM484980 Staphylococcus agnetis,0.0122008824,0.0029135961
AJ780976 Staphylococcus pseudintermedius,HM484980 Staphylococcus agnetis,0.0107558406,0.0026836193
CAIB01000045 Staphylococcus intermedius,HM484980 Staphylococcus agnetis,0.0114788736,0.0028109573
FXUZ01000000 Staphylococcus cornubiensis,HM484980 Staphylococcus agnetis,0.0080966563,0.0024520665
KY019172 Staphylococcus ursi,HM484980 Staphylococcus agnetis,0.0107542754,0.0026644423
X84731 Staphylococcus lutrae,HM484980 Staphylococcus agnetis,0.0151035716,0.0031963818
AB009938 Staphylococcus delphini,CP008747 Staphylococcus hyicus,0.0121818363,0.0029044616
AJ780976 Staphylococcus pseudintermedius,CP008747 Staphylococcus hyicus,0.0127185380,0.0029001057
CAIB01000045 Staphylococcus intermedius,CP008747 Staphylococcus hyicus,0.0092108082,0.0023871734
FXUZ01000000 Staphylococcus cornubiensis,CP008747 Staphylococcus hyicus,0.0075925881,0.0022670570
KY019172 Staphylococcus ursi,CP008747 Staphylococcus hyicus,0.0084312629,0.0022351055
X84731 Staphylococcus lutrae,CP008747 Staphylococcus hyicus,0.0133800253,0.0028593044
HM484980 Staphylococcus agnetis,CP008747 Staphylococcus hyicus,0.0028474908,0.0013565875
AB009938 Staphylococcus delphini,D83360 Staphylococcus chromogenes,0.0123298959,0.0029347884
AJ780976 Staphylococcus pseudintermedius,D83360 Staphylococcus chromogenes,0.0130066913,0.0029848963
CAIB01000045 Staphylococcus intermedius,D83360 Staphylococcus chromogenes,0.0123177211,0.0029415839
FXUZ01000000 Staphylococcus cornubiensis,D83360 Staphylococcus chromogenes,0.0092987949,0.0027006921
KY019172 Staphylococcus ursi,D83360 Staphylococcus chromogenes,0.0116260141,0.0027385282
X84731 Staphylococcus lutrae,D83360 Staphylococcus chromogenes,0.0158190570,0.0033107682
HM484980 Staphylococcus agnetis,D83360 Staphylococcus chromogenes,0.0078614809,0.0022551050
CP008747 Staphylococcus hyicus,D83360 Staphylococcus chromogenes,0.0102523412,0.0025134304
AB009938 Staphylococcus delphini,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0095883215,0.0025979295
AJ780976 Staphylococcus pseudintermedius,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0094674322,0.0026304187
CAIB01000045 Staphylococcus intermedius,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0079946657,0.0023951263
FXUZ01000000 Staphylococcus cornubiensis,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0048240095,0.0019286142
KY019172 Staphylococcus ursi,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0079186729,0.0023160921
X84731 Staphylococcus lutrae,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0147471202,0.0032400261
HM484980 Staphylococcus agnetis,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0107558406,0.0027373065
CP008747 Staphylococcus hyicus,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0119011698,0.0027825936
D83360 Staphylococcus chromogenes,S83568 Staphylococcus schleiferi subsp. schleiferi,0.0123346014,0.0029709780
AB009938 Staphylococcus delphini,AB009945 Staphylococcus coagulans,0.0081096852,0.0023109118
AJ780976 Staphylococcus pseudintermedius,AB009945 Staphylococcus coagulans,0.0081151691,0.0023084779
CAIB01000045 Staphylococcus intermedius,AB009945 Staphylococcus coagulans,0.0067494313,0.0021032309
FXUZ01000000 Staphylococcus cornubiensis,AB009945 Staphylococcus coagulans,0.0042889070,0.0017756934
KY019172 Staphylococcus ursi,AB009945 Staphylococcus coagulans,0.0081050407,0.0022301051
X84731 Staphylococcus lutrae,AB009945 Staphylococcus coagulans,0.0151518369,0.0032396482
HM484980 Staphylococcus agnetis,AB009945 Staphylococcus coagulans,0.0107623902,0.0027292877
CP008747 Staphylococcus hyicus,AB009945 Staphylococcus coagulans,0.0121900856,0.0028312811
D83360 Staphylococcus chromogenes,AB009945 Staphylococcus coagulans,0.0123333270,0.0029199892
S83568 Staphylococcus schleiferi subsp. schleiferi,AB009945 Staphylococcus coagulans,0.0040933296,0.0016826958
AB009938 Staphylococcus delphini,D83364 Staphylococcus felis,0.0158059770,0.0033711092
AJ780976 Staphylococcus pseudintermedius,D83364 Staphylococcus felis,0.0150941451,0.0033401740
CAIB01000045 Staphylococcus intermedius,D83364 Staphylococcus felis,0.0144028792,0.0032756779
FXUZ01000000 Staphylococcus cornubiensis,D83364 Staphylococcus felis,0.0114644819,0.0029935483
KY019172 Staphylococcus ursi,D83364 Staphylococcus felis,0.0150899373,0.0032240123
X84731 Staphylococcus lutrae,D83364 Staphylococcus felis,0.0144479568,0.0032706699
HM484980 Staphylococcus agnetis,D83364 Staphylococcus felis,0.0129117945,0.0029346321
CP008747 Staphylococcus hyicus,D83364 Staphylococcus felis,0.0143988663,0.0030781167
D83360 Staphylococcus chromogenes,D83364 Staphylococcus felis,0.0143797422,0.0031851929
S83568 Staphylococcus schleiferi subsp. schleiferi,D83364 Staphylococcus felis,0.0144206492,0.0032949261
AB009945 Staphylococcus coagulans,D83364 Staphylococcus felis,0.0144191620,0.0031616654
